Año, Trimestre , Provincia ,Accesos por cada 100 hab
2016.0,4.0, Chaco ,7.65
2016.0,4.0, Chubut ,10.96
2016.0,4.0, Córdoba ,17.57
2016.0,4.0, Corrientes ,8.12
2016.0,4.0, Entre Ríos ,13.45
2016.0,4.0, Formosa ,5.03
2016.0,4.0, Jujuy ,5.76
2016.0,4.0, La Pampa ,20.67
2016.0,4.0, La Rioja ,4.35
2016.0,4.0, Mendoza ,8.91
2016.0,4.0, Misiones ,8.05
2016.0,4.0, Neuquén ,17.99
2016.0,4.0, Río Negro ,14.17
2016.0,4.0, Salta ,7.87
2016.0,4.0, San Juan ,6.91
2016.0,4.0, San Luis ,2.74
2016.0,4.0, Santa Cruz ,7.94
2016.0,4.0, Santa Fe ,16.35
2016.0,4.0, Santiago Del Estero ,3.72
2016.0,4.0, Tierra Del Fuego ,20.57
2016.0,4.0, Tucumán ,9.35
2016.0,3.0, Buenos Aires ,18.3
2016.0,3.0, Capital Federal ,45.85
2016.0,3.0, Catamarca ,6.72
2016.0,3.0, Chaco ,7.71
2016.0,3.0, Chubut ,11.04
2016.0,3.0, Córdoba ,17.79
2016.0,3.0, Corrientes ,8.16
2016.0,3.0, Entre Ríos ,13.55
2016.0,3.0, Formosa ,4.73
2016.0,3.0, Jujuy ,5.76
2016.0,3.0, La Pampa ,20.29
2016.0,3.0, La Rioja ,4.53
2016.0,3.0, Mendoza ,8.93
2016.0,3.0, Misiones ,8.12
2016.0,3.0, Neuquén ,17.86
2016.0,3.0, Río Negro ,14.22
2016.0,3.0, Salta ,7.96
2016.0,3.0, San Juan ,6.94
2016.0,3.0, San Luis ,2.75
2016.0,3.0, Santa Cruz ,7.93
2016.0,3.0, Santa Fe ,16.53
2016.0,3.0, Santiago Del Estero ,3.79
2016.0,3.0, Tierra Del Fuego ,20.31
2016.0,3.0, Tucumán ,9.36
2016.0,2.0, Buenos Aires ,18.1
2016.0,2.0, Capital Federal ,45.59
2016.0,2.0, Catamarca ,6.63
2016.0,2.0, Chaco ,7.64
2016.0,2.0, Chubut ,11.07
2016.0,2.0, Córdoba ,17.62
2016.0,2.0, Corrientes ,8.05
2016.0,2.0, Entre Ríos ,13.38
2016.0,2.0, Formosa ,4.93
2016.0,2.0, Jujuy ,5.6
2016.0,2.0, La Pampa ,19.91
2016.0,2.0, La Rioja ,4.49
2016.0,2.0, Mendoza ,8.97
2016.0,2.0, Misiones ,7.96
2016.0,2.0, Neuquén ,17.59
2016.0,2.0, Río Negro ,14.22
2016.0,2.0, Salta ,7.77
2016.0,2.0, San Juan ,6.96
2016.0,2.0, San Luis ,2.75
2016.0,2.0, Santa Cruz ,7.96
2016.0,2.0, Santa Fe ,16.49
2016.0,2.0, Santiago Del Estero ,3.94
2016.0,2.0, Tierra Del Fuego ,20.08
2016.0,2.0, Tucumán ,9.22
2016.0,1.0, Buenos Aires ,17.54
2016.0,1.0, Capital Federal ,43.76
2016.0,1.0, Catamarca ,6.61
2016.0,1.0, Chaco ,7.52
2016.0,1.0, Chubut ,11.12
2016.0,1.0, Córdoba ,16.97
2016.0,1.0, Corrientes ,7.94
2016.0,1.0, Entre Ríos ,13.14
2016.0,1.0, Formosa ,4.86
2016.0,1.0, Jujuy ,5.49
2016.0,1.0, La Pampa ,19.1
2016.0,1.0, La Rioja ,4.5
2016.0,1.0, Mendoza ,8.99
2016.0,1.0, Misiones ,7.75
2016.0,1.0, Neuquén ,16.66
2016.0,1.0, Río Negro ,14.15
2016.0,1.0, Salta ,7.61
2016.0,1.0, San Juan ,6.98
2016.0,1.0, San Luis ,2.75
2016.0,1.0, Santa Cruz ,8.05
2016.0,1.0, Santa Fe ,16.16
2016.0,1.0, Santiago Del Estero ,4.03
2016.0,1.0, Tierra Del Fuego ,19.65
2016.0,1.0, Tucumán ,9.13
2015.0,4.0, Buenos Aires ,17.68
2015.0,4.0, Capital Federal ,44.83
2015.0,4.0, Catamarca ,6.64
2015.0,4.0, Chaco ,7.54
2015.0,4.0, Chubut ,11.21
2015.0,4.0, Córdoba ,17.47
2015.0,4.0, Corrientes ,7.95
2015.0,4.0, Entre Ríos ,13.12
2015.0,4.0, Formosa ,4.83
2015.0,4.0, Jujuy ,5.46
2015.0,4.0, La Pampa ,19.27
2015.0,4.0, La Rioja ,4.58
2015.0,4.0, Mendoza ,9.02
2015.0,4.0, Misiones ,7.77
2015.0,4.0, Neuquén ,17.23
2015.0,4.0, Río Negro ,14.19
2015.0,4.0, Salta ,7.6
2015.0,4.0, San Juan ,7.01
2015.0,4.0, San Luis ,2.76
2015.0,4.0, Santa Cruz ,8.14
2015.0,4.0, Santa Fe ,16.47
2015.0,4.0, Santiago Del Estero ,4.2
2015.0,4.0, Tierra Del Fuego ,19.44
2015.0,4.0, Tucumán ,9.12
2015.0,3.0, Buenos Aires ,17.55
2015.0,3.0, Capital Federal ,44.91
2015.0,3.0, Catamarca ,6.56
2015.0,3.0, Chaco ,7.45
2015.0,3.0, Chubut ,11.23
2015.0,3.0, Córdoba ,17.43
2015.0,3.0, Corrientes ,7.93
2015.0,3.0, Entre Ríos ,13.03
2015.0,3.0, Formosa ,4.78
2015.0,3.0, Jujuy ,5.42
2015.0,3.0, La Pampa ,19.06
2015.0,3.0, La Rioja ,4.55
2015.0,3.0, Mendoza ,9.04
2015.0,3.0, Misiones ,7.69
2015.0,3.0, Neuquén ,16.2
2015.0,3.0, Río Negro ,14.22
2015.0,3.0, Salta ,7.53
2015.0,3.0, San Juan ,7.03
2015.0,3.0, San Luis ,2.77
2015.0,3.0, Santa Cruz ,8.16
2015.0,3.0, Santa Fe ,16.36
2015.0,3.0, Santiago Del Estero ,4.24
2015.0,3.0, Tierra Del Fuego ,22.05
2015.0,3.0, Tucumán ,9.04
2015.0,2.0, Buenos Aires ,17.33
2015.0,2.0, Capital Federal ,44.08
2015.0,2.0, Catamarca ,6.48
2015.0,2.0, Chaco ,7.34
2015.0,2.0, Chubut ,11.22
2015.0,2.0, Córdoba ,17.11
2015.0,2.0, Corrientes ,7.79
2015.0,2.0, Entre Ríos ,12.84
2015.0,2.0, Formosa ,4.67
2015.0,2.0, Jujuy ,5.19
2015.0,2.0, La Pampa ,18.69
2015.0,2.0, La Rioja ,4.49
2015.0,2.0, Mendoza ,9.07
2015.0,2.0, Misiones ,7.45
2015.0,2.0, Neuquén ,15.81
2015.0,2.0, Río Negro ,14.14
2015.0,2.0, Salta ,7.38
2015.0,2.0, San Juan ,7.04
2015.0,2.0, San Luis ,2.78
2015.0,2.0, Santa Cruz ,8.06
2015.0,2.0, Santa Fe ,16.09
2015.0,2.0, Santiago Del Estero ,4.25
2015.0,2.0, Tierra Del Fuego ,22.1
2015.0,2.0, Tucumán ,8.84
2015.0,1.0, Buenos Aires ,17.24
2015.0,1.0, Capital Federal ,43.66
2015.0,1.0, Catamarca ,6.4
2015.0,1.0, Chaco ,7.14
2015.0,1.0, Chubut ,11.59
2015.0,1.0, Córdoba ,16.79
2015.0,1.0, Corrientes ,7.64
2015.0,1.0, Entre Ríos ,12.61
2015.0,1.0, Formosa ,4.62
2015.0,1.0, Jujuy ,5.05
2015.0,1.0, La Pampa ,18.33
2015.0,1.0, La Rioja ,4.46
2015.0,1.0, Mendoza ,9.06
2015.0,1.0, Misiones ,7.19
2015.0,1.0, Neuquén ,15.53
2015.0,1.0, Río Negro ,13.99
2015.0,1.0, Salta ,7.29
2015.0,1.0, San Juan ,7.04
2015.0,1.0, San Luis ,2.79
2015.0,1.0, Santa Cruz ,8.39
2015.0,1.0, Santa Fe ,15.83
2015.0,1.0, Santiago Del Estero ,4.24
2015.0,1.0, Tierra Del Fuego ,22.17
2015.0,1.0, Tucumán ,8.72
2014.0,4.0, Buenos Aires ,17.01
2014.0,4.0, Capital Federal ,43.6
2014.0,4.0, Catamarca ,6.46
2014.0,4.0, Chaco ,5.81
2014.0,4.0, Chubut ,12.22
2014.0,4.0, Córdoba ,16.66
2014.0,4.0, Corrientes ,6.17
2014.0,4.0, Entre Ríos ,10.72
2014.0,4.0, Formosa ,4.55
2014.0,4.0, Jujuy ,4.98
2014.0,4.0, La Pampa ,16.82
2014.0,4.0, La Rioja ,4.5
2014.0,4.0, Mendoza ,9.06
2014.0,4.0, Misiones ,6.54
2014.0,4.0, Neuquén ,15.53
2014.0,4.0, Río Negro ,13.89
2014.0,4.0, Salta ,7.1
2014.0,4.0, San Juan ,7.1
2014.0,4.0, San Luis ,2.78
2014.0,4.0, Santa Cruz ,8.16
2014.0,4.0, Santa Fe ,15.66
2014.0,4.0, Santiago Del Estero ,4.26
2014.0,4.0, Tierra Del Fuego ,19.34
2014.0,4.0, Tucumán ,8.69
2014.0,3.0, Buenos Aires ,17.26
2014.0,3.0, Capital Federal ,43.21
2014.0,3.0, Catamarca ,6.27
2014.0,3.0, Chaco ,5.63
2014.0,3.0, Chubut ,12.39
2014.0,3.0, Córdoba ,16.56
2014.0,3.0, Corrientes ,5.99
2014.0,3.0, Entre Ríos ,10.43
2014.0,3.0, Formosa ,4.51
2014.0,3.0, Jujuy ,4.68
2014.0,3.0, La Pampa ,18.34
2014.0,3.0, La Rioja ,4.38
2014.0,3.0, Mendoza ,8.99
2014.0,3.0, Misiones ,6.4
2014.0,3.0, Neuquén ,16.73
2014.0,3.0, Río Negro ,14.16
2014.0,3.0, Salta ,7.05
2014.0,3.0, San Juan ,7.08
2014.0,3.0, San Luis ,2.77
2014.0,3.0, Santa Cruz ,8.34
2014.0,3.0, Santa Fe ,15.44
2014.0,3.0, Santiago Del Estero ,4.08
2014.0,3.0, Tierra Del Fuego ,19.34
2014.0,3.0, Tucumán ,8.38
2014.0,2.0, Buenos Aires ,16.79
2014.0,2.0, Capital Federal ,42.97
2014.0,2.0, Catamarca ,6.28
2014.0,2.0, Chaco ,5.6
2014.0,2.0, Chubut ,12.7
2014.0,2.0, Córdoba ,16.37
2014.0,2.0, Corrientes ,5.95
2014.0,2.0, Entre Ríos ,10.37
2014.0,2.0, Formosa ,4.46
2014.0,2.0, Jujuy ,4.78
2014.0,2.0, La Pampa ,16.38
2014.0,2.0, La Rioja ,4.39
2014.0,2.0, Mendoza ,8.96
2014.0,2.0, Misiones ,6.37
2014.0,2.0, Neuquén ,15.14
2014.0,2.0, Río Negro ,13.95
2014.0,2.0, Salta ,7.0
2014.0,2.0, San Juan ,7.08
2014.0,2.0, San Luis ,2.78
2014.0,2.0, Santa Cruz ,8.74
2014.0,2.0, Santa Fe ,15.22
2014.0,2.0, Santiago Del Estero ,4.14
2014.0,2.0, Tierra Del Fuego ,19.09
2014.0,2.0, Tucumán ,8.41
2014.0,1.0, Buenos Aires ,16.69
2014.0,1.0, Capital Federal ,42.66
2014.0,1.0, Catamarca ,6.18
2014.0,1.0, Chaco ,5.55
2014.0,1.0, Chubut ,12.7
2014.0,1.0, Córdoba ,16.13
2014.0,1.0, Corrientes ,5.89
2014.0,1.0, Entre Ríos ,10.3
2014.0,1.0, Formosa ,4.44
2014.0,1.0, Jujuy ,4.72
2014.0,1.0, La Pampa ,15.99
2014.0,1.0, La Rioja ,4.35
2014.0,1.0, Mendoza ,8.93
2014.0,1.0, Misiones ,6.32
2014.0,1.0, Neuquén ,14.88
2014.0,1.0, Río Negro ,13.87
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
